Lari!	Plueng!
Ikuti dia.	seutét jih.
Lupakan dirinya.	Bèk ingat le jih.
Dia adalah seorang DJ.	Jih adalah sidroe DJ.
Dia pintar.	Jih caröng.
Halo, Ahmad!	Halo, Ahmad!
Membosankan sekali!	Membosankan that!
Saya laki-laki.	Lôn Agam.
Saya baru makan.	Lôn barô pajôh.
Saya suka dia.	Lôn galak jih.
Saya cinta kamu.	Lôn cinta kah.
Saya mencintaimu.	Lôn cinta keu kah.
Saya merindukanmu.	Lôn rindu keu kah.
Saya rindu kamu.	Lôn rindu kah.
Saya lapar!	Lôn deuek!
Saya lapar.	Lôn deuek.
Saya lapar.	Lôn deuek.
Saya bercanda.	Lôn meuseunda.
Saya sangat capek.	Lôn that hèk.
Saya ngantuk!	Lôn teungeut!
Saya ngantuk.	Lôn teungeut.
Apa Ahmad sakit?	Peu Ahmad saket?
Apakah ini cinta?	Peukeuh nyoe cinta?
Apa itu benar?	Peu nyan butoi?
Apa benar begitu?	Peu butoi lage nyan?
Itu akan terbakar.	Nyan akan teutet
Sekarang malam.	Inoe malam.
Itu aneh.	Nyan aneh.
Ini aneh.	Nyoe aneh
Coba saya lihat.	Cuba lôn kalön.
Lihat saya.	Kalön lôn.
Beneran?	Yang butoi?
Tidak masalah!	Hana masalah!
Tidak masalah.	Hana masalah.
Oh, benarkah?	Oh, yang butoi?
Silakan duduk.	Silahkan duek.
Cepatlah!	Bagahlah!
Cepat!	Bagah!
Itu aneh.	Nyan aneh.
Ahmad melakukannya.	Ahmad peubuet nyan.
Ahmad dalam keadaan baik.	Ahmad dalam keadaan get.
Ahmad di rumah.	Ahmad di rumoh.
Belok kanan.	Wét u neun.
Apakah dia Ahmad?	Peukeuh jih Ahmad?
Ahmad itu siapa?	Ahmad nyan soe?
Apa kamu melakukan khitan?	Peu kah ka sunat?
Kamu orang baru?	Kah ureung barô?
Kamu masih belum mengerti?	Kah mantöng golom meuphom?
Apa kamu bermain boling?	Peu kah meuen boling?
Jangan khawatir.	Bèk khawatir.
Pergilah tidur.	Kajak éh.
Duduklah.	Kaduek.
Duduklah.	Neuduek.
Dia memiliki anggur.	Jih na anggor.
Dia sendirian.	Jih sidroe.
Dia delapan tahun.	Jih lapan thôn.
Apa kabar?	Peu haba?
Bagaimana kabar Kamu?	Kiban haba Droeneuh?
Saya juga pergi.	Lôn pih jak.
Saya merasa bodoh.	Lôn merasa bangai.
Saya lelah.	Lôn hèk.
Saya suka biru.	Lôn galak biru.
Saya suka kucing.	Lôn galak miè.
Saya suka ini.	Lôn galak nyoe.
Saya perlu uang.	Lôn perlè pèng.
Saya berterima kasih.	Lôn meuteurimeng geunaseh.
Saya mempercayainya.	Lôn patéh.
Saya mau punya saya.	Lôn ék ata lôn.
Saya lelah.	Lôn hèk.
Saya juga pergi.	Lôn pih jak.
Saya bercanda.	Lôn meuseunda.
Saya tidak malu.	Lôn hana malee.
Saya serius.	Lôn serius.
Saya kelaparan.	Lôn deuek.
Saya haus.	Lôn grah.
Saya terlalu gemuk.	Lôn that tumb01n.
Saya sudah gagal.	Lôn ka gagal.
Apa Ahmad sakit?	Peu Ahmad saket?
Apa Ahmad sehat?	Peu Ahmad sehat?
Tidak mungkin!	Hana mungken!
Mungkin akan turun hujan.	Mungken akan i trén ujeuen.
Itu palsu.	Nyan palsu.
Bercanda.	Meuseunda.
Mari kita lakukan!	Yak tanyoe peubuet!
Mari kita lakukan.	Yak tanyoe peubuet.
Lihatlah ke arah Ahmad.	Kalön keuh u arah Ahmad.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Tolong berhenti!	Tulông deng!
Tolong berhenti.	Tulông deng.
Ucapkan selamat tinggal.	Kheun seulamat tinggai.
Diam di situ!	Iem i nan.
Duduklah.	Neuduek.
Begitulah hidup.	Meunanlah udép.
Ini Ahmad.	Nyoe Ahmad.
Ini besar.	Nyoe rayék.
Ini aneh.	Nyoe aneh.
Ahmad pingsan.	Ahmad pansan.
Ahmad adalah seorang yang kasar.	Ahmad adalah sidroe yang gasa.
Nyalakan CNN.	Peuudep CNN.
Kami membantu Ahmad.	Kamoe meubantu Ahmad.
Kami mengenalnya.	Kamoe turijih.
Kita akan bertarung.	Tanyoe akan meutarông.
Membosankan sekali!	Membosankan that!
Sayang sekali!	Sayang that!
Itu apa?	Nyan peu?
Ini apa?	Nyoe peu?
Siapa yang menggambar itu?	Soe yang gamba nyan?
Itu punya siapa?	Nyan ata soe?
Kamu kurus.	Kah pijuet.
Apakah kamu yakin?	Peukeuh kah yakin?
Apa kamu yakin?	Peu kah yakin?
Hentikan itu!	Kasép nyan!
Jangan tanya saya.	Bèk tanyöng lôn.
Jangan pergi dulu.	Bèk jak dilè.
Jangan mempermainkan saya!	Bèk kapeumeuen lôn!
Mengerikan sekali!	Ngeri that!
Saya tidak peduli.	Lôn hana peduli.
Saya tidak tahu.	Lôn hana teupeu.
Saya merasa capek.	Lôn merasa hèk.
Saya harus belajar.	Lôn harus belajar.
Saya mengerti.	Lôn meuphom.
Saya ingin pergi.	Lôn neu yak jak.
Saya sangat lapar.	Lôn that deuek.
Saya tidak dungu.	Lôn hana bangai.
Saya tidak yakin.	Lôn hana yakin.
Saya sangat menyesal.	Lôn that menyesal.
Saya kelaparan.	Lôn deuek.
Saya yang terbaik.	Lôn yang paleng get.
Apa itu benar?	Peu nyan butoi?
Apa ini benar?	Peu nyoe butoi?
Apakah ini benar?	Peukeuh nyoe butoi?
Itu bohong.	Nyan peungeut.
Tadi itu jelas.	Bunoe nyan jelaih.
Ini kapal saya.	Nyoe kapai lôn.
Sedang turun hujan.	Tingeh i trén ujeuen.
Itu aneh.	Nyan aneh.
Ini aneh.	Nyoe aneh.
Sudah hentikan.	Kasép kajeut.
Mari kita mencobanya.	Yak tanyoe cuba nyan.
Cepatlah!	Bagahlah!
Bebaskan Ahmad.	Peulheuh Ahmad.
Dia delapan tahun.	Jih lapan thôn.
Perlihatkan itu pada saya.	Peudeuh nyan bak lôn.
Mimpi indah!	Meulumpoe indah!
Terima kasih banyak.	Teurimeng geunaseh banyak.
Itu bagus!	Nyan gét!
Tepat sekali!	Teupat that!
Itu aneh.	Nyan aneh.
ini gampang.	nyoe gampang.
Ini adalah makanan.	Nyoe adalah makanan.
Ahmad benci saya.	Ahmad beunci Lôn.
Ahmad memaksa.	Ahmad paksa.
Ahmad tidak tenang.	Ahmad hana teunang.
Ahmad melihat mereka.	Ahmad kalön awak nyan.
Ahmad berbicara dengan gagap.	Ahmad peugah aba ngön gagap.
Ahmad dalam keadaan baik.	Ahmad dalam keadaan get.
Ahmad dalam keadaan baik.	Ahmad dalam keadaan get.
Ahmad itu ramah.	Ahmad nyan ramah.
Ahmad itu keras.	Ahmad nyan kreuh.
Cobalah berenang!	Aci meulangoe.
Kami mohon maaf.	Kamoe lake meuah.
Kami akan memperbaikinya.	Kamoe akan meupeugét nyan.
Kami sedang mencoba.	Kamoe tingeh cuba.
Ini apa?	Nyoe peu?
Kamu bodoh.	Kah bangai.
Kamu muda.	Kah muda.
Ada pertanyaan?	Na pertanyaan?
Ada lagi?	Na lom?
Apa kamu senang?	Peu kah senang?
Apa Kamu bahagia?	Peu kah bahgia?
Kamu capek?	Kah hèk?
Apa kamu melihatnya?	Peu na kah kalön?
Jangan pergi.	Bèk jak.
Jangan mengejek saya.	Bèk ka nyèt-nyèt lôn.
Beri makan burungnya!	Jôk umpeun cicem nyan!
Beri makan burungnya.	Jôk umpeun cicem nyan.
Kemari.	Keunoe.
Ambil perlengkapanmu.	Cok perlengkapan kah.
Berikan pada saya.	Jôk keu  lôn.
Dia nampaknya sedang sakit.	Jih bakdeuh tingeh saket.
Dia menembak ke arah saya.	Jih tembak u arah lôn.
Pegang tali itu.	Mat taloe nyan.
Apa kabar?	Peu haba?
Bagaimana kabar Kamu?	Kiban haba Droeneuh?
Saya bisa melihat Ahmad.	Lôn jeut kalön Ahmad.
Saya sudah lapar.	Lôn ka deuk.
Saya punya tempat tinggal.	Lôn na teumpat tinggai.
Saya punya saudara kembar.	Lôn na saudara keumbeu.
Saya sudah gagal.	Lôn ka gagal.
Saya tidak bercanda.	Lôn hana meuseunda.
Saya harus menolak.	Lôn harus tulak.
Saya harus melihatnya.	Lôn payah kalön.
Saya menipumu.	Lôn peungeut kah.
Saya menggunakan Twitter.	Lôn pakek twitter.
Saya ingin mati.	Lôn neu yak mate.
Saya masuk ke dalam.	Lôn taméng u dalam.
Saya tidak buta.	Lôn hana buta.
Saya puas.	Lôn puas.
Saya sangat lapar.	Lôn that deuek.
Apa sedang hujan?	Peu tingeh ujeuen?
Apa itu benar?	Peu nyan butoi?
Apa itu salah?	Peu nyan salah?
Sedang turun hujan.	Tingeh i trén ujeuen.
Ini dijual.	Nyan dipubloe.
Ini untuk dijual.	Nyan untuk dipubloe.
Ada di lantai atas.	Na di lantai ateuh.
Lepaskan Ahmad!	Peuleuh Ahmad!
Lepaskan Ahmad.	Peuleuh Ahmad.
Biarkan saya melihatnya.	Bah lôn kalön.
Biarkan saya mencobanya.	Bah lôn cuba.
Mari kita melakukannya.	Yak tanyoe peubuet nyan.
Ayo kembali.	Yak Balek.
Cinta itu gila.	Cinta nyan pungo.
Tidak ada yang melihat kita.	Hana yang kalön tanyoe.
Harap tenang.	Harap teunang.
Perlihatkan itu pada saya.	Peudeuh nyan bak lôn.
Berhentilah bermimpi.	Kasep meulumpoe.
Tadi itu cepat.	Bunoe nyan bagah.
Itu tadi enak.	Nyan bunoe mangat.
Itu enak.	Nyan mangat.
Itu palsu.	Nyan palsu.
Bercanda.	Meuseunda.
Itu cukup.	Nyan kasep.
Ini pulpen.	Nyoe pulpen.
Ini bodoh.	Nyoe bangai.
Ini aneh.	Nyoe aneh.
Ini enak.	Nyoe mangat.
Waktu adalah uang.	Watèe adalah pèng.
Ahmad menyalahkan kami.	Ahmad i peusalah kamoe.
Ahmad kebal.	Ahmad keubai.
Ahmad itu ramah.	Ahmad nyan ramah.
Ahmad terlihat buruk.	Ahmad deuh brôk.
Ahmad dipecat.	Ahmad dipeucat.
Ahmad merasa bahagia.	Ahmad meurasa bahgia.
Ahmad beruntung.	Ahmad beuruntông
Kami membantu Ahmad.	Kamoe meubantu Ahmad.
Kita akan bertarung.	Tanyoe akan meutarông.
Kami berangkat.	Kamoe berangkat.
Apa yang sudah saya lakukan?	Peu yang kaleuh lôn peubuet?
Apa yang terjadi?	Peu yang terjadi?
Apa itu UFO?	Peu nyan UFO?
Yang mana punya saya?	Yang teh ata lôn?
Kamu tidak apa-apa?	Kah hana pu-pu?
Kamu ngantuk.	Kah teungeut.
Kamu sudah tidur?	Kah kaleuh éh?
Apa kamu lapar?	Peu kah deuek?
Apa kamu bercanda?	Peu kah meuseunda?
Bisa saya bantu?	Jeut lôn bantu?
Kamu masih belum mengerti?	Kah mantöng golom meuphom?
Perubahan itu bagus.	Perubahan nyan göt.
Kembali ke rumah.	Balek u rumoh.
Segeralah kembali.	Sigra balek.
Apa kamu benci saya?	Peu kah beunci lôn?
Jangan katakan itu!	Bèk ka peugah nyan!
Jangan menggoda saya.	Bèk ka goda lôn.
Apa kamu tidak tahu?	Peu kah hana teupeu?
Turun dari kasur!	Trén dari kaso!
Bangun dari tempat tidur!	Beudöh dari teumpat éh!
Bangunlah dari tempat tidur.	Beudöhlah dari teumpat éh.
Ambil perlengkapanmu.	Cok perlengkapan kah.
Dia adalah seorang dokter.	Jih adalah sidroe dokter.
Dia adalah seorang aktor.	Jih adalah sidroe aktor.
Dia terlihat muda.	Jih deuh muda.
Dia sempurna.	Jih sempurna.
Sudah telat berapa lamakah?	Ka teulat padup trep ka?
Sudah telat berapa lama?	Ka teulat padup trep?
Berapa harganya?	Padup yum jih?
Saya adalah seorang siswa.	Lôn adalah sidroe siswa.
Saya ada di London.	Lôn na di london.
Saya tidak suka telur.	Lôn hana galak bôh manok.
Saya pergi ke sekolah.	Lôn jak u sikula.
Saya demam.	Lôn demam.
Saya punya rumah.	Lôn na rumoh.
Saya tidak tahu sama sekali.	Lôn hana teupeu sama sekali.
Saya tidak punya waktu.	Lôn hana wate.
Saya harus menolak.	Lôn harus tulak.
Saya butuh perangko.	Lôn perlè perangko.
Saya butuh teman.	Lôn perlè ngön.
Saya memakai kacamata.	Lôn pakek kacamata.
Saya akan membutuhkan bantuan.	Lôn akan perlè bantuan.
Saya bukan bayi.	Lôn ken bayi.
Saya tidak bercanda.	Lôn hana meuseunda.
Saya tidak sedang bercanda.	Lôn hana tingeh meuseunda.
Saya tidak bodoh.	Lôn hana bangai.
Saya sangat capek.	Lôn that hèk.
Saya sudah pindah.	Lôn ka pinah.
Itu pasti Ahmad.	Nyan pasti Ahmad.
Tinggalkan saya sendiri!	Kubah lôn sidroe!
Tinggalkan saya sendiri.	Kubah lôn sidroe.
Berbohong adalah perbuatan yang salah.	Seumeungeut adalah perbuatan yang salah.
Bangunlah.	Beudöhlah.
Dia sedang lari.	Jih tingeh di plueng.
Dia tampak sakit.	Jih bakdeuh saket.
Dia jago renang.	Jih jago renang.
Dia seorang yang cantik.	Jih sidroe yang lagak.
Jadi mari kita lakukan.	Jadi yak tanyoe peubuet.
Santai saja.	Santai mantöng.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Itu tadi enak.	Nyan bunoe mangat.
Itu bohong.	Nyan peungeut.
Itu aneh.	Nyan aneh.
Itu sianida.	Nyan sianida.
Harusnya saya yang bilang begitu.	Harusjih lôn yang peugah lage nyan.
Itu aneh.	Nyan aneh.
Anehnya.	Anehjih.
Sayang sekali.	Sayang that.
Bercanda.	Meuseunda.
Ini sangat menyedihkan.	Nyoe that seudéh.
Ini tidak menyenangkan.	Nyoe hana seunang.
Ahmad tidak bisa berenang.	Ahmad han jeut meulangoe.
Ahmad mengabaikan saya.	Ahmad hana dipeureumeun lôn.
Ahmad ada di rumah.	Ahmad na di rumôh.
Ahmad gelisah.	Ahmad gelisah.
Ahmad gugup.	Ahmad gugôp.
Ahmad tidak lemah.	Ahmad hana leumöh.
Ahmad pingsan.	Ahmad pansan.
Ahmad menangis.	Ahmad moe.
Ahmad tidak lemah.	Ahmad hana leumöh.
Kami membuat sebuah kesepakatan.	Kamoe meupeugöt saboh mufakat.
Kami akan senang.	Kamoe akan seunang.
Kami bisa dipercaya.	Kamoe jeut di patéh.
Kami seorang yang mudah bergaul.	Kamoe sidroe yang mudah meugaul.
Bagaimana kalau saya gagal?	Kiban menye lôn gagal?
Apa susahnya, sih?	Peu susah jih?
Tadi kamu di mana?	Bunoe kah pat?
Kamu di mana?	Kah pat?
Boston itu di mana?	Boston nyan pat?
Mobil saya mana?	Moto lôn töh?
Itu punya siapa?	Nyan ata soe?
Kamu harus pergi.	Kah harus jak.
Apa ini milikmu?	Peu nyoe ata kah?
Apa kita masih belum selesai?	Peu tanyoe mantöng golom leuh?
Apakah kamu yakin?	Peukeuh kah yakin?
Apa kamu yakin?	Peu kah yakin?
Apa kamu bercanda?	Peu kah meuseunda?
Apa kamu serius?	Peu kah serius?
Boleh saya mengajak Ahmad?	Jeut lôn pakat ahmad?
Apa bisa dibetulkan?	Peu jeut dipeugöt?
Tutup pintu itu.	Tôp pintô nyan.
Selamat!	Seulamat!
Apa kamu punya satu?	Peu kah na saboh?
Apa kamu melihatnya?	Peu na kah kalön?
Apa kamu melihat ini?	Peu na kah kalön nyoe?
Jangan takut.	Bèk yee?
Jangan takut.	Bèk yee?
Jangan ganggu saya.	Bèk peukaru lôn.
Jangan marah.	Bèk bungeh.
Jangan mabuk!	Bèk mabôk!
Ambil barang-barangmu.	Cok barang-barang kah.
Ambil barangmu!	Cok barang kah!
Dia punya dua kucing.	Jih na dua miè.
Dia suka macan.	Jih galak macan.
Dia kakak laki-laki saya.	Jih abang lôn.
Dia kakak saya.	Jih kakak lôn.
Dia adik saya.	Jih adek lôn.
Dia masih belum ada.	Jih mantöng golom na.
Hai! Bagaimana kabarmu?	Hai! Kiban haba kah?
Hai! Apa kabar?	Hai! Peu haba?
Hai. Bagaimana kabarmu?	Hai. Kiban haba kah?
Namanya Ahmad.	Nan jih Ahmad.
Tolong tunggu sebentar.	Tulông prèh siat.
Apa kabar?	Peu haba?
Saya sepenuhnya setuju.	Lôn sepunoh jih seutuju.
Saya sangat capek.	Lôn that hèk.
Saya mengerti.	Lôn meuphom.
Saya tidak melihat Ahmad.	Lôn hana kalön Ahmad.
Saya mengerti maksudmu.	Lôn meuphom maksud kah.
Saya harus belajar.	Lôn harus belajar.
Saya punya dua ekor kucing.	Lôn na dua neuk miè.
Saya belum tidur.	Lôn golom éh.
Saya tahu perempuan itu.	Lôn teupeu inöng nyan.
Saya suka mobilmu.	Lôn galak moto kah.
Saya suka terung.	Lôn galak boh trueng.
Saya sepenuhnya setuju.	Lôn sepunoh jih seutuju.
Saya akan di rumah.	Lôn akan di rumôh.
Saya hampir selesai.	Lôn karap leuh.
Saya akan pergi.	Lôn akan jak.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya tidak bercanda.	Lôn hana meuseunda.
Saya tidak sedang bercanda.	Lôn hana tingeh meuseunda.
Saya tidak akan pergi.	Lôn han akan jak.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya sangat lapar.	Lôn that deuek.
Saya temanmu.	Lôn ngön kah.
Itu penting?	Nyan peunteng?
Apa ini benar?	Peu nyoe butoi?
Apakah ini benar?	Peukeuh nyoe butoi?
Terserah padamu.	Terserah bak kah.
Ini tidak cukup.	Nyoe hana sep.
Itu tidak cukup.	Nyan hana sep.
Kelihatannya itu murah.	Bak deuh nyan murah.
Ini tidak lucu.	Nyoe hana lucu.
Tidak masalah.	Hana masalah.
Ini bukan lelucon.	Nyoe ken lelucon.
Ini tidak rusak.	Nyan hana reulöh.
Ini tidak cukup.	Nyoe hana sep.
Itu tidak cukup.	Nyan hana sep.
Biarkan saya melihatnya.	Bah lôn kalön.
Ayo kembali.	Yak Balek.
Ayo kembali.	Yak Balek.
Kesalahan bisa terjadi.	Kesalahan jeut terjadi.
Mama, saya lapar.	Mak, lôn deuek.
Rumah saya besar.	Rumôh lôn rayék.
Jangan lupakan itu!	Bèk tuwe nyan!
Jangan pernah berbohong.	Bèk tom seumeungeut.
Tolong betulkan itu.	Tulông peugöt nyan.
Tolong betulkan ini.	Tulông peugöt nyoe.
Silakan duduk.	Silahkan duek.
Baca ini dulu.	Baca nyoe dilè.
Dia seorang yang cantik.	Jih sidroe yang lagak.
Dia cantik.	Jih lagak.
Terima kasih untuk ini.	Teurimeng geunaseh untuk nyoe.
Itu tidak adil.	Nyan hana ade.
Itu aneh.	Nyan aneh.
Buku itu berwarna merah.	Buku nyan meuwarna mirah.
Ruangannya panas.	Ruangan nyan suum.
Mereka takut padamu.	Awak nyan yee keu kah.
Mereka pulang lebih awal.	Awak nyan woe lubeh bagah.
Mereka pergi lebih awal.	Awak nyan jak lubeh bagah.
Ini aneh.	Nyoe aneh.
Ini adalah kamar saya.	Nyoe adalah kama lôn.
ini istri saya.	Nyoe inöng lôn.
Ini alami.	Nyoe alami.
Ini bukan lelucon.	Nyoe ken lelucon.
Ini dijual.	Nyan dipubloe.
Ini aneh.	Nyoe aneh.
Ahmad sangat mencintai dan menyayangi Nisa.	
Ahmad pingsan.	Ahmad pansan.
Ahmad sedang di rumah sekarang.	Ahmad tingöh di rumôh inoe.
Ahmad adalah teman saya.	Ahmad adalah ngön lôn.
Ahmad sangat tua.	Ahmad that tuha.
Ahmad tidak senang.	Ahmad hana senang.
Ahmad berbohong padamu.	Ahmad di seumeungeut kah.
Ahmad terlihat sedih.	Ahmad deuh seudéh.
Ahmad butuh taksi.	Ahmad perlè taksi.
Ahmad butuh air.	Ahmad perlè ie.
Ahmad berhenti sekolah.	Ahmad piyôh sikula.
Ahmad sedang bernyanyi tadi.	Ahmad tingöh di meulagu bunoe.
Ahmad itu berbahaya.	Ahmad nyan bahaya.
Ahmad itu teman saya.	Ahmad nyan ngön lôn.
Kami melakukan yang terbaik.	Kamoe peubuet yang paleng get.
Kami tidak pernah lupa.	Kamoe hana tom tuwe.
Kami tidak pernah lupa.	Kamoe hana tom tuwe.
Ada apa?	Peu na?
Apa yang terjadi?	Peu yang terjadi?
Kalian punya apa?	Awakkah na peu?
Kalian dapat apa?	Awakkah meureumpök peu?
Kapan kita bisa makan?	Pajan tanyoe jeut pajoh?
Dia pergi ke mana?	Jih i jak ho?
Ke mana perginya?	Ho i jak?
Mobil saya mana?	Moto lôn töh?
Di mana mereka?	Pat awak nyan?
Di mana mereka?	Pat awak nyan?
Siapa anak itu?	Soe aneuk nyan?
Mengapa kamu bertanya?	Pakön kah tanyöng?
Kenapa dia ada di sini?	Pakön jih na i noe?
Kamu tidak mendengar.	Kah hana kadeungö.
Kamu membuat saya kecewa.	Kah meupeugöt lôn keucewa.
Kamu mengecewakan saya.	Kah kapeu keucewa lôn.
Waktumu sudah habis.	Watèe kah ka abeh.
Siapapun bisa melakukannya.	Beurangkasoe jeut peubuet nyan.
Apakah kita siap?	Peukeuh tanyoe siap?
Apa kamu serius?	Peu kah serius?
Kamu sedang tidur?	Kah tingöh éh?
Kendalikan dirimu!	Kendalikan droe!
Kendalikan dirimu.	Kendalikan droe.
Ahmad pergi sendiri?	Ahmad i jak sidroe?
Dia tadi bilang begitu?	Jih bunoe peugah lage nyan?
Apa kamu senang?	Peu kah senang?
Apakah kamu sering menangis?	Peukeuh kah sereng moe?
Apa kamu merasa sakit?	Peu kah meurasa saket?
Apakah kamu tinggal di sini?	Peukeuh kah tinggai i noe?
Tidak apa-apa.	Hana peu-peu.
Apa kamu tidak mengerti?	Peu kah hana meuphom?
Cukup cukup.	Kasep kasep.
Dia bisa berenang dengan cepat.	Jih jeut meulangoe ngön bagah.
Dia punya sedikit gigi.	Jih na bacut igoe.
Dia memiliki sebuah sepeda.	Jih na saboh sitangèn.
Dia dalam masalah.	Jih lam masalah.
Dia adalah adik saya.	Jih adalah adek lôn.
Dia adalah kakak saya.	Jih adalah kakak lôn.
Dia masih di sini.	Jih mantöng i noe.
Dia baru saja pergi.	Jih ban mantöng i jak.
Dia mengambil pinjaman uang.	Jih i cok pinjaman pèng.
Dia dinyatakan tidak bersalah.	Jih dinyatakan hana meusalah.
Dia pintar.	Jih caröng.
Dia masih muda.	Jih mantöng muda.
Tunggu sebentar.	Prèh siat.
Bagaimana saya bisa mengetahuinya?	Kiban lôn jeut teupeu nyan?
Bagaimana kelihatannya?	Kiban bak deuh jih?
Bagaimana cara kerjanya?	Kiban cara kereuja jih?
Bagaimana saya bisa mengetahuinya?	Kiban lôn jeut teupeu nyan?
Apa kabar?	Peu haba?
Saya setuju denganmu.	Lôn seutuju ngön kah.
Saya juga suka kue.	Lôn pih galak kueh.
Saya tidak bercanda.	Lôn hana meuseunda.
Saya tidak sedang bercanda.	Lôn hana tingeh meuseunda.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya sangat lapar.	Lôn that deuek.
Saya percaya padamu.	Lôn patéh keu kah.
Saya datang kemarin.	Lôn trôh baroe.
Saya tidak bisa mengatakan itu.	Lôn han jeut peugah nyan.
Saya terkena flu.	Lôn keunöng flu.
Saya rasa tidak.	Lôn rasa hana.
Kuncinya ketemu.	Kunci jih meureumpek.
Saya kena flu berat.	Lôn keunöng flu brat.
Saya harap saya akan bertahan hidup.	Lôn harap lôn akan bertahan udép.
Saya hanya tahu ini.	Lôn cuma teupeu nyoe.
Saya tahu namamu.	Lôn teupeu nan kah.
Saya suka coklat.	Lôn galak coklat.
Saya suka mawar merah.	Lôn galak warna mirah.
Saya suka rambutmu.	Lôn galak ôk kah.
Saya suka coklat.	Lôn galak coklat.
Saya sangat suka lagu ini.	Lôn that galak lagu nyoe.
Saya sangat suka rambutmu.	Lôn that galak ôk kah.
